,datesold,price_1_unit,price_2_house,price_2_unit,price_3_house,price_3_unit,price_4_house,price_5_house
0,2007-02-07,351000.0,325000.0,300000.0,290000.0,480000.0,525000.0,800000.0
1,2007-02-08,351000.0,325000.0,300000.0,290000.0,480000.0,520166.6666666667,800000.0
2,2007-02-09,351000.0,325000.0,300000.0,290000.0,480000.0,515333.3333333333,800000.0
3,2007-02-10,351000.0,325000.0,300000.0,290000.0,480000.0,510500.0,800000.0
4,2007-02-11,351000.0,325000.0,300000.0,290000.0,480000.0,505666.6666666667,800000.0
5,2007-02-12,351000.0,325000.0,300000.0,290000.0,480000.0,500833.3333333333,800000.0
6,2007-02-13,351000.0,325000.0,300000.0,290000.0,480000.0,496000.0,800000.0
7,2007-02-14,351000.0,325000.0,300000.0,290000.0,480000.0,491166.6666666667,800000.0
8,2007-02-15,351000.0,325000.0,300000.0,290000.0,480000.0,486333.3333333333,800000.0
9,2007-02-16,351000.0,325000.0,300000.0,290000.0,480000.0,481500.0,800000.0
10,2007-02-17,351000.0,325000.0,300000.0,290000.0,480000.0,476666.6666666667,800000.0
11,2007-02-18,351000.0,325000.0,300000.0,290000.0,480000.0,471833.3333333333,800000.0
12,2007-02-19,351000.0,325000.0,300000.0,290000.0,480000.0,467000.0,800000.0
13,2007-02-20,351000.0,325000.0,300000.0,290000.0,480000.0,462166.6666666667,800000.0
14,2007-02-21,351000.0,325000.0,300000.0,290000.0,480000.0,457333.3333333333,800000.0
15,2007-02-22,351000.0,325000.0,300000.0,290000.0,480000.0,452500.0,800000.0
16,2007-02-23,351000.0,325000.0,300000.0,290000.0,480000.0,447666.6666666667,800000.0
17,2007-02-24,351000.0,325000.0,300000.0,290000.0,480000.0,442833.3333333333,800000.0
18,2007-02-25,351000.0,325000.0,300000.0,290000.0,480000.0,438000.0,800000.0
19,2007-02-26,351000.0,325000.0,300000.0,290000.0,480000.0,433166.6666666667,800000.0
20,2007-02-27,351000.0,325000.0,300000.0,290000.0,480000.0,428333.3333333333,800000.0
21,2007-02-28,351000.0,325000.0,300000.0,294750.0,480000.0,423500.0,800000.0
22,2007-03-01,351000.0,325000.0,300000.0,299500.0,480000.0,418666.6666666667,800000.0
23,2007-03-02,351000.0,325000.0,300000.0,304250.0,480000.0,413833.3333333333,800000.0
24,2007-03-03,351000.0,325000.0,300000.0,309000.0,480000.0,409000.0,800000.0
25,2007-03-04,351000.0,325000.0,300000.0,313750.0,480000.0,404166.6666666667,800000.0
26,2007-03-05,351000.0,325000.0,300000.0,318500.0,480000.0,399333.3333333333,800000.0
